order_item_id,order_id,order_date,customer_id,product_id,quantity,unit_price,channel
1,1288,2026-06-01,31.0,33.0,10,376.48,store
2,906,2026-06-01,75.0,46.0,2,119.72,store
3,239,2026-06-01,84.0,20.0,8,474.12,mobile
4,146,2026-06-01,49.0,29.0,4,812.32,mobile
5,758,2026-06-01,46.0,50.0,8,341.43,mobile
6,1297,2026-06-01,95.0,31.0,1,24.87,web
7,249,2026-06-01,94.0,45.0,7,476.21,web
8,759,2026-06-01,3.0,14.0,5,39.74,web
9,1096,2026-06-01,27.0,46.0,3,114.76,store
10,1556,2026-06-01,90.0,49.0,7,44.99,mobile
11,639,2026-06-01,88.0,24.0,10,487.68,mobile
12,1247,2026-06-01,10.0,17.0,5,511.98,mobile
13,242,2026-06-01,32.0,12.0,9,561.84,mobile
14,86,2026-06-01,8.0,12.0,6,560.56,mobile
15,1215,2026-06-01,92.0,26.0,7,33.4,store
16,830,2026-06-01,22.0,50.0,4,318.15,mobile
17,869,2026-06-01,55.0,1.0,2,97.93,mobile
18,1097,2026-06-01,58.0,50.0,3,339.0,store
19,965,2026-06-01,16.0,37.0,6,478.58,store
20,1499,2026-06-01,51.0,3.0,5,251.79,store
21,115,2026-06-01,80.0,42.0,7,414.34,web
22,1581,2026-06-01,27.0,16.0,2,12.77,store
23,880,2026-06-01,96.0,1.0,8,110.37,store
24,412,2026-06-01,29.0,8.0,6,154.75,mobile
25,145,2026-06-01,55.0,26.0,5,40.94,mobile
26,1418,2026-06-01,13.0,43.0,6,389.66,web
27,649,2026-06-01,78.0,14.0,3,42.74,store
28,1354,2026-06-01,1.0,43.0,6,454.02,mobile
29,779,2026-06-01,55.0,15.0,6,99.4,store
30,1009,2026-06-01,82.0,15.0,10,98.11,mobile
31,54,2026-06-01,35.0,13.0,6,462.54,web
32,716,2026-06-01,6.0,9.0,1,522.02,mobile
33,672,2026-06-01,45.0,42.0,4,376.79,mobile
34,194,2026-06-01,34.0,28.0,8,595.75,web
35,658,2026-06-01,6.0,25.0,10,505.29,store
36,607,2026-06-01,71.0,34.0,1,294.55,mobile
37,889,2026-06-01,84.0,37.0,1,553.92,store
38,1482,2026-06-01,6.0,6.0,1,399.99,web
39,1448,2026-06-01,36.0,40.0,9,101.62,store
40,201,2026-06-01,58.0,9.0,2,509.3,store
41,1491,2026-06-01,83.0,36.0,2,63.82,mobile
42,229,2026-06-01,21.0,23.0,1,375.48,web
43,1111,2026-06-01,15.0,31.0,1,27.16,mobile
44,769,2026-06-01,3.0,45.0,6,408.32,web
45,1526,2026-06-01,11.0,22.0,10,66.37,store
46,314,2026-06-01,41.0,37.0,3,500.67,web
47,804,2026-06-01,51.0,22.0,9,56.0,mobile
48,439,2026-06-01,64.0,48.0,7,500.18,mobile
49,1484,2026-06-01,78.0,25.0,1,502.53,web
50,1028,2026-06-01,7.0,15.0,10,110.73,mobile
51,393,2026-06-01,77.0,43.0,2,404.54,web
52,1193,2026-06-01,92.0,45.0,6,496.04,store
53,1264,2026-06-01,40.0,50.0,1,319.82,store
54,1117,2026-06-01,63.0,2.0,1,322.65,store
55,483,2026-06-01,35.0,19.0,8,472.5,web
56,1622,2026-06-01,4.0,18.0,8,12.07,mobile
57,1586,2026-06-01,67.0,6.0,6,374.37,mobile
58,977,2026-06-01,52.0,37.0,2,460.41,mobile
59,482,2026-06-01,100.0,40.0,6,102.72,store
60,1219,2026-06-01,26.0,49.0,4,46.28,store
61,723,2026-06-01,57.0,41.0,4,395.3,mobile
62,1265,2026-06-01,58.0,18.0,6,11.33,web
63,579,2026-06-01,17.0,39.0,7,460.11,mobile
64,641,2026-06-01,15.0,9.0,9,487.35,mobile
65,903,2026-06-01,82.0,24.0,1,521.08,store
66,691,2026-06-01,89.0,2.0,1,324.45,web
67,131,2026-06-01,43.0,20.0,3,418.75,mobile
68,1574,2026-06-01,34.0,46.0,4,130.52,store
69,1579,2026-06-01,7.0,38.0,6,326.75,mobile
70,247,2026-06-01,62.0,12.0,9,528.53,web
71,1463,2026-06-01,45.0,48.0,2,487.78,mobile
72,100,2026-06-01,20.0,34.0,9,278.16,store
73,1097,2026-06-01,78.0,44.0,4,461.61,web
74,828,2026-06-01,73.0,30.0,1,359.94,mobile
75,528,2026-06-01,21.0,4.0,2,690.34,web
76,935,2026-06-01,66.0,17.0,3,468.79,store
77,728,2026-06-01,54.0,15.0,9,104.93,store
78,1533,2026-06-01,55.0,6.0,3,430.28,store
79,1519,2026-06-01,18.0,15.0,5,106.67,mobile
80,53,2026-06-01,55.0,24.0,3,484.45,store
81,1529,2026-06-01,72.0,13.0,6,468.94,web
82,1238,2026-06-01,83.0,42.0,5,344.01,mobile
83,102,2026-06-01,93.0,25.0,8,524.05,web
84,207,2026-06-01,41.0,23.0,10,382.05,store
85,859,2026-06-01,81.0,36.0,2,63.24,web
86,1201,2026-06-01,34.0,28.0,9,618.53,web
87,471,2026-06-01,39.0,33.0,7,356.0,web
88,1304,2026-06-01,62.0,23.0,6,413.46,web
89,399,2026-06-01,57.0,26.0,7,37.77,mobile
90,53,2026-06-01,72.0,5.0,6,453.38,web
91,1076,2026-06-01,59.0,33.0,4,413.37,mobile
92,1593,2026-06-01,51.0,23.0,1,0.0,web
93,1475,2026-06-01,67.0,12.0,3,546.3,mobile
94,671,2026-06-01,5.0,29.0,10,681.92,store
95,74,2026-06-01,2.0,15.0,5,89.6,mobile
96,996,2026-06-01,56.0,43.0,1,370.98,store
97,527,2026-06-01,53.0,43.0,3,440.14,mobile
98,1518,2026-06-01,45.0,49.0,1,53.25,store
99,566,2026-06-01,93.0,11.0,10,253.77,web
100,1100,2026-06-01,94.0,6.0,9,388.11,store
101,724,2026-06-01,91.0,1.0,8,106.82,web
102,1634,2026-06-01,74.0,23.0,8,442.74,web
103,1536,2026-06-01,48.0,44.0,5,433.54,web
104,1481,2026-06-01,53.0,42.0,2,397.93,store
105,788,2026-06-01,67.0,5.0,6,468.76,mobile
106,307,2026-06-01,26.0,3.0,5,237.53,mobile
107,1604,2026-06-01,97.0,1.0,10,97.4,mobile
108,475,2026-06-01,74.0,50.0,2,355.08,store
109,1629,2026-06-01,87.0,3.0,1,227.83,mobile
110,25,2026-06-01,45.0,30.0,8,328.93,mobile
111,12,2026-06-01,97.0,35.0,3,464.59,store
112,1463,2026-06-01,34.0,33.0,4,459.36,mobile
113,531,2026-06-01,32.0,31.0,5,23.18,web
114,100,2026-06-01,84.0,15.0,3,112.38,mobile
115,1418,2026-06-01,79.0,12.0,7,461.32,store
116,31,2026-06-01,51.0,11.0,8,258.12,store
117,98,2026-06-01,68.0,28.0,6,626.64,store
118,772,2026-06-01,90.0,36.0,4,63.27,web
119,1456,2026-06-01,86.0,19.0,4,501.91,web
120,858,2026-06-01,77.0,19.0,6,434.77,mobile
121,1405,2026-06-01,98.0,37.0,8,501.12,store
122,266,2026-06-01,37.0,35.0,4,592.49,mobile
123,861,2026-06-01,87.0,13.0,1,529.09,web
124,205,2026-06-01,42.0,25.0,7,451.87,web
125,1008,2026-06-01,33.0,16.0,2,11.24,store
126,1070,2026-06-01,48.0,36.0,9,62.28,store
127,865,2026-06-01,42.0,29.0,6,660.68,mobile
128,165,2026-06-01,13.0,6.0,4,357.01,store
129,532,2026-06-01,24.0,37.0,2,562.86,store
130,1572,2026-06-01,27.0,43.0,9,419.41,mobile
131,1376,2026-06-01,100.0,49.0,6,47.64,web
132,757,2026-06-01,69.0,48.0,8,411.08,store
133,499,2026-06-01,31.0,1.0,6,100.79,store
134,1489,2026-06-01,94.0,50.0,10,316.23,mobile
135,1314,2026-06-01,26.0,15.0,8,89.11,store
136,1268,2026-06-01,37.0,3.0,9,264.46,store
137,253,2026-06-01,28.0,14.0,7,39.99,store
138,408,2026-06-01,80.0,47.0,10,425.58,web
139,461,2026-06-01,20.0,7.0,8,65.12,store
